source,target,weight
600060.XSHG,600366.XSHG,1
600060.XSHG,600395.XSHG,1
600060.XSHG,600498.XSHG,1
600060.XSHG,600546.XSHG,1
600060.XSHG,600588.XSHG,1
600060.XSHG,600684.XSHG,1
600060.XSHG,600702.XSHG,1
600060.XSHG,600770.XSHG,1
600060.XSHG,600804.XSHG,1
600060.XSHG,600809.XSHG,1
600060.XSHG,600823.XSHG,1
600060.XSHG,600875.XSHG,1
600060.XSHG,601099.XSHG,1
600060.XSHG,601166.XSHG,1
600060.XSHG,601288.XSHG,1
600060.XSHG,601328.XSHG,1
600060.XSHG,601398.XSHG,1
600060.XSHG,601600.XSHG,1
600060.XSHG,601628.XSHG,1
600060.XSHG,601699.XSHG,1
600060.XSHG,601717.XSHG,1
600060.XSHG,601818.XSHG,1
600060.XSHG,601901.XSHG,1
600060.XSHG,601939.XSHG,1
600060.XSHG,601958.XSHG,1
600060.XSHG,601988.XSHG,1
600060.XSHG,603000.XSHG,1
600060.XSHG,603993.XSHG,1
600064.XSHG,600094.XSHG,1
600064.XSHG,600123.XSHG,1
600064.XSHG,600143.XSHG,1
600064.XSHG,600162.XSHG,1
600064.XSHG,600177.XSHG,1
600064.XSHG,600199.XSHG,1
600064.XSHG,600216.XSHG,1
600064.XSHG,600239.XSHG,1
600064.XSHG,600266.XSHG,1
600064.XSHG,600300.XSHG,1
600064.XSHG,600366.XSHG,1
600064.XSHG,600395.XSHG,1
600064.XSHG,600498.XSHG,1
600064.XSHG,600546.XSHG,1
600064.XSHG,600588.XSHG,1
600064.XSHG,600702.XSHG,1
600064.XSHG,600770.XSHG,1
600064.XSHG,600804.XSHG,1
600064.XSHG,600809.XSHG,1
600064.XSHG,600823.XSHG,1
600064.XSHG,601099.XSHG,1
600064.XSHG,601377.XSHG,1
600064.XSHG,601398.XSHG,1
600064.XSHG,601717.XSHG,1
600064.XSHG,601901.XSHG,1
600067.XSHG,600123.XSHG,1
600067.XSHG,600162.XSHG,1
600067.XSHG,600170.XSHG,1
600067.XSHG,600216.XSHG,1
600067.XSHG,600221.XSHG,1
600067.XSHG,600362.XSHG,1
600067.XSHG,600395.XSHG,1
600067.XSHG,600498.XSHG,1
600067.XSHG,600503.XSHG,1
600067.XSHG,600546.XSHG,1
600067.XSHG,600639.XSHG,1
600067.XSHG,600684.XSHG,1
600067.XSHG,600875.XSHG,1
600067.XSHG,601006.XSHG,1
600067.XSHG,601099.XSHG,1
600067.XSHG,601398.XSHG,1
600067.XSHG,601600.XSHG,1
600067.XSHG,601717.XSHG,1
600067.XSHG,601901.XSHG,1
600089.XSHG,600256.XSHG,1
600094.XSHG,600123.XSHG,1
600094.XSHG,600143.XSHG,1
600094.XSHG,600162.XSHG,1
600094.XSHG,600199.XSHG,1
600094.XSHG,600216.XSHG,1
600094.XSHG,600239.XSHG,1
600094.XSHG,600266.XSHG,1
600094.XSHG,600300.XSHG,1
600094.XSHG,600366.XSHG,1
600094.XSHG,600395.XSHG,1
